tt0004712	The Exile	6.2	212
tt0020980	Walk Cheerfully	6.5	672
tt0021406	That Night's Wife	6.9	843
tt0022064	Lebbra bianca	5.4	54
tt0022485	Tokyo Chorus	7.2	1411
tt0022787	Wooden Crosses	7.8	1484
tt0023238	The Most Dangerous Game	7.1	12569
tt0024676	Woman of Tokyo	7.0	945
tt0025557	El negro que tenía el alma blanca	6.7	41
tt0027752	The Only Son	7.7	3672
tt0028358	Things to Come	6.6	8184
tt0029557	What Did the Lady Forget?	7.0	1160
tt0029870	Angels with Dirty Faces	7.9	21769
tt0029947	Bringing Up Baby	7.8	61747
tt0030341	The Lady Vanishes	7.8	52887
tt0030998	You're Only Young Twice	5.8	88
tt0031437	Home on the Prairie	5.6	107
tt0031603	Made in Germany – Ein Leben für Zeiss	6.5	17
tt0032304	Captain Caution	5.5	320
tt0032553	The Great Dictator	8.4	223374
tt0032787	Mi noche triste	5.9	11
tt0032867	On Their Own	5.7	27
tt0032916	Play Girl	6.3	351
tt0034298	Brothers and Sisters of the Toda Family	7.3	1296
tt0034591	There Was a Father	7.6	2825
tt0034928	Jungle Book	6.7	4272
tt0035074	peh	4.9	186
tt0035423	Kate & Leopold	6.4	84950
tt0035446	To Be or Not to Be	8.2	37428
tt0035933	Elephant Fury	5.1	12
tt0036220	A Good Lad	6.3	84
tt0036247	Our Father	6.4	10
tt0036443	Titanic	6.2	1590
tt0036493	Mystery of the Black Jungle	5.4	45
tt0036606	Another Time, Another Place	6.5	326
tt0036757	Destiny	6.2	174
tt0036775	Double Indemnity	8.3	157151
tt0036991	Die Kreuzlschreiber	6.7	13
tt0037065	Melusine	3.7	19
tt0037483	Eyes of Love	7.8	23
tt0037515	And Then There Were None	7.4	15165
tt0037547	Blood on the Sun	6.0	2063
tt0037913	Mildred Pierce	7.9	26146
tt0038086	Shiva und die Galgenblume	7.0	26
tt0038089	Siluri umani	7.1	53
tt0038355	The Big Sleep	7.9	85977
tt0038777	A Night in Casablanca	6.9	6868
tt0039241	Captain Demonio	3.8	9
tt0039417	Germany, Year Zero	7.8	12505
tt0039442	Habla, mudita	6.1	153
tt0039478	Hue and Cry	6.7	1635
tt0039536	Kiss of Death	7.4	8460
tt0039631	Monsieur Verdoux	7.8	17714
tt0039689	Out of the Past	8.0	37546
tt0039895	They Made Me a Fugitive	7.2	1682
tt0040018	It's Forever Springtime	6.4	96
tt0040221	Caught	7.0	3864
tt0040266	The Dancing Years	6.0	77
tt0040284	The Last Days of Pompeii	5.8	124
tt0040300	The Devil Is a Woman	7.2	133
tt0040348	The Farm of Seven Sins	6.6	81
tt0040412	A Thief Has Arrived	4.7	7
tt0040497	Jour de Fête	7.2	8486
tt0040525	The Lady from Shanghai	7.5	30643
tt0040533	The Legend of Faust	7.0	36
tt0040559	Machine to Kill Bad People	6.7	743
tt0040605	The Glass Mountain	6.6	280
tt0040619	The Mill on the Po	6.9	234
tt0040629	My Own True Love	5.7	53
tt0040711	Prince of the Plains	6.8	15
tt0040765	The Search	7.8	4420
tt0040849	The Sun Comes Up	6.4	416
tt0041084	Abandoned	6.6	494
tt0041085	Abbott and Costello Meet the Killer, Boris Karloff	6.8	3957
tt0041089	Adam and Evelyne	6.2	570
tt0041091	Adam and Eve	5.2	18
tt0041092	Adémaï au poteau-frontière	6.0	12
tt0041098	Africa Screams	6.0	3828
tt0041102	A Night of Fame	5.8	97
tt0041113	All the King's Men	7.4	15222
tt0041117	Ambush	6.5	717
tt0041119	Love and Poison	4.8	12
